,,Team,Matches,Rounds,RD,Round 1,Round 2,Round 3,Round 4,Round 5
Opening Stage,0,ENCE,3-0,76-52,+24,OG,Ninjas in Pyjamas,FaZe Clan,,
Opening Stage,1,G2 Esports,3-0,64-34,+30,The MongolZ,Complexity Gaming,Apeks,,
Opening Stage,2,Apeks,3-1,91-80,+11,Team Liquid,Grayhound Gaming,G2 Esports,paiN Gaming,
Opening Stage,3,FaZe Clan,3-1,101-93,+8,Monte,paiN Gaming,ENCE,FORZE Esports,
Opening Stage,4,Ninjas in Pyjamas,3-1,76-65,+11,MOUZ,ENCE,OG,Grayhound Gaming,
Opening Stage,5,Monte,3-2,110-92,+18,FaZe Clan,Fluxo,FORZE Esports,The MongolZ,paiN Gaming
Opening Stage,6,Team Liquid,3-2,133-107,+26,Apeks,FORZE Esports,Fluxo,Complexity Gaming,Grayhound Gaming
Opening Stage,7,GamerLegion,3-2,126-110,+16,Complexity Gaming,The MongolZ,MOUZ,OG,FORZE Esports
Opening Stage,8,FORZE Esports,2-3,94-100,-6,Grayhound Gaming,Team Liquid,Monte,FaZe Clan,GamerLegion
Opening Stage,9,Grayhound Gaming,2-3,73-104,-31,FORZE Esports,Apeks,The MongolZ,Ninjas in Pyjamas,Team Liquid
Opening Stage,10,paiN Gaming,2-3,107-109,-2,Fluxo,FaZe Clan,Complexity Gaming,Apeks,Monte
Opening Stage,11,Complexity Gaming,1-3,43-75,-32,GamerLegion,G2 Esports,paiN Gaming,Team Liquid,
Opening Stage,12,The MongolZ,1-3,62-75,-13,G2 Esports,GamerLegion,Grayhound Gaming,Monte,
Opening Stage,13,OG,1-3,75-86,-11,ENCE,MOUZ,Ninjas in Pyjamas,GamerLegion,
Opening Stage,14,MOUZ,0-3,37-64,-27,Ninjas in Pyjamas,OG,GamerLegion,,
Opening Stage,15,Fluxo,0-3,53-75,-22,paiN Gaming,Monte,Team Liquid,,
Elimination Stage,0,HEROIC,3-0,75-56,+19,FaZe Clan,Apeks,Team Liquid,,
Elimination Stage,1,Team Vitality,3-0,64-49,+15,G2 Esports,ENCE,Monte,,
Elimination Stage,2,Team Liquid,3-1,106-86,+20,9INE,Natus Vincere,HEROIC,Into The Breach,
Elimination Stage,3,Monte,3-1,90-70,+20,FURIA Esports,Fnatic,Team Vitality,Natus Vincere,
Elimination Stage,4,GamerLegion,3-1,74-55,+19,Natus Vincere,9INE,Fnatic,Apeks,
Elimination Stage,5,Apeks,3-2,95-97,-2,Into The Breach,HEROIC,Bad News Eagles,GamerLegion,Ninjas in Pyjamas
Elimination Stage,6,Into The Breach,3-2,112-98,+14,Apeks,FaZe Clan,ENCE,Team Liquid,Fnatic
Elimination Stage,7,FaZe Clan,3-2,140-137,+3,HEROIC,Into The Breach,9INE,Bad News Eagles,Natus Vincere
Elimination Stage,8,Natus Vincere,2-3,94-118,-24,GamerLegion,Team Liquid,Ninjas in Pyjamas,Monte,FaZe Clan
Elimination Stage,9,Fnatic,2-3,120-133,-13,Ninjas in Pyjamas,Monte,GamerLegion,G2 Esports,Into The Breach
Elimination Stage,10,Ninjas in Pyjamas,2-3,101-95,+6,Fnatic,FURIA Esports,Natus Vincere,ENCE,Apeks
Elimination Stage,11,ENCE,1-3,53-73,-20,Bad News Eagles,Team Vitality,Into The Breach,Ninjas in Pyjamas,
Elimination Stage,12,Bad News Eagles,1-3,78-83,-5,ENCE,G2 Esports,Apeks,FaZe Clan,
Elimination Stage,13,G2 Esports,1-3,101-95,+6,Team Vitality,Bad News Eagles,FURIA Esports,Fnatic,
Elimination Stage,14,9INE,0-3,40-64,-24,Team Liquid,GamerLegion,FaZe Clan,,
Elimination Stage,15,FURIA Esports,0-3,30-64,-34,Monte,Ninjas in Pyjamas,G2 Esports,,
Playoff Stage,0,Team Vitality,3-0,96-68,28,Into The Breach,Apeks,GamerLegion,,
Playoff Stage,1,GamerLegion,2-1,96-81,15,Monte,Heroic,Team Vitality,,
Playoff Stage,2,HEROIC,1-1,80-81,-1,FaZe Clan,GamerLegion,,,
Playoff Stage,3,Apeks,1-1,58-53,5,Team Liquid,Team Vitality,,,
Playoff Stage,4,FaZe Clan,0-1,36-44,-8,Heroic,,,,
Playoff Stage,5,Monte,0-1,13-32,-19,GamerLegion,,,,
Playoff Stage,6,Team Liquid,0-1,21-32,-11,Apeks,,,,
Playoff Stage,7,Into The Breach,0-1,23-32,-9,Team Vitality,,,,
