Stage,Team,Matches,Rounds,RD,Round 1,Round 2,Round 3,Round 4,Round 5
Opening Stage,FaZe Clan,3-0,64-43,21,Team Spirit,ENCE,Virtus.pro,,
Opening Stage,Copenhagen Flames,3-0,75-52,23,Astralis,BIG,HEROIC,,
Opening Stage,ENCE,3-1,86-71,15,GODSENT,FaZe Clan,MOUZ,BIG,
Opening Stage,Entropiq,3-1,87-68,19,BIG,Astralis,Movistar Riders,HEROIC,
Opening Stage,Virtus.pro,3-1,99-96,3,paiN Gaming,Movistar Riders,FaZe Clan,Team Spirit,
Opening Stage,HEROIC,3-2,133-129,4,TYLOO,MOUZ,Copenhagen Flames,Entropiq,Movistar Riders
Opening Stage,Astralis,3-2,111-90,21,Copenhagen Flames,Entropiq,GODSENT,paiN Gaming,Team Spirit
Opening Stage,MOUZ,3-2,126-110,16,Sharks Esports,HEROIC,ENCE,Renegades,BIG
Opening Stage,BIG,2-3,117-122,-5,Entropiq,Copenhagen Flames,Renegades,ENCE,MOUZ
Opening Stage,Team Spirit,2-3,101-110,-9,FaZe Clan,GODSENT,TYLOO,Virtus.pro,Astralis
Opening Stage,Movistar Riders,2-3,103-123,-20,Renegades,Virtus.pro,Entropiq,TYLOO,HEROIC
Opening Stage,paiN Gaming,1-3,106-110,-4,Virtus.pro,Renegades,Sharks Esports,Astralis,
Opening Stage,Renegades,1-3,70-92,-22,Movistar Riders,paiN Gaming,BIG,MOUZ,
Opening Stage,TYLOO,1-3,77-88,-11,HEROIC,Sharks Esports,Team Spirit,Movistar Riders,
Opening Stage,GODSENT,0-3,36-64,-28,ENCE,Team Spirit,Astralis,,
Opening Stage,Sharks Esports,0-3,63-86,-23,MOUZ,TYLOO,paiN Gaming,,
Elimination Stage,Natus Vincere,3-0,64-33,31,HEROIC,Virtus.pro,Ninjas in Pyjamas,,
Elimination Stage,G2 Esports,3-0,64-40,24,Copenhagen Flames,FaZe Clan,Entropiq,,
Elimination Stage,HEROIC,3-1,88-66,22,Natus Vincere,Team Vitality,Astralis,Copenhagen Flames,
Elimination Stage,Gambit Esports,3-1,73-56,17,ENCE,Entropiq,Virtus.pro,Ninjas in Pyjamas,
Elimination Stage,FURIA Esports,3-1,82-68,14,Astralis,MOUZ,Team Liquid,Entropiq,
Elimination Stage,Virtus.pro,3-2,126-124,2,Team Vitality,Natus Vincere,Gambit Esports,MOUZ,FaZe Clan
Elimination Stage,Ninjas in Pyjamas,3-2,114-123,-9,MOUZ,Astralis,Natus Vincere,Gambit Esports,Copenhagen Flames
Elimination Stage,Team Vitality,3-2,162-139,23,Virtus.pro,HEROIC,Evil Geniuses,Astralis,Entropiq
Elimination Stage,Entropiq,2-3,123-135,-12,Team Liquid,Gambit Esports,G2 Esports,FURIA Esports,Team Vitality
Elimination Stage,Copenhagen Flames,2-3,120-114,6,G2 Esports,Evil Geniuses,FaZe Clan,HEROIC,Ninjas in Pyjamas
Elimination Stage,FaZe Clan,2-3,108-110,-2,Evil Geniuses,G2 Esports,Copenhagen Flames,Team Liquid,Virtus.pro
Elimination Stage,Astralis,1-3,63-88,-25,FURIA Esports,Ninjas in Pyjamas,HEROIC,Team Vitality,
Elimination Stage,MOUZ,1-3,90-95,-5,Ninjas in Pyjamas,FURIA Esports,ENCE,Virtus.pro,
Elimination Stage,Team Liquid,1-3,61-78,-17,Entropiq,ENCE,FURIA Esports,FaZe Clan,
Elimination Stage,Evil Geniuses,0-3,41-77,-36,FaZe Clan,Copenhagen Flames,Team Vitality,,
Elimination Stage,ENCE,0-3,31-64,-33,Gambit Esports,Team Liquid,MOUZ,,
Playoff Stage,Natus Vincere,3-0,102-65,37,Team Vitality,Gambit Esports,G2 Esports,,
